kenteken;voertuigsoort;merk;catalogusprijs;eerste_kleur;prijscategorie
00HLD3;Personenauto;FIAT;17393.0;CREME;normaal
00HNR8;Personenauto;FIAT;15406.0;WIT;normaal
00HNS1;Personenauto;FIAT;22798.0;GRIJS;hoog
00HNV9;Personenauto;FIAT;19693.0;ZWART;normaal
00HPD9;Personenauto;FIAT;15975.0;ZWART;normaal
00HPJ2;Personenauto;FIAT;15579.0;WIT;normaal
00HPN9;Personenauto;FIAT;15793.0;ZWART;normaal
00HPS7;Personenauto;FIAT;19369.0;GRIJS;normaal
00HPV6;Personenauto;FIAT;16454.0;BLAUW;normaal
00HPZ8;Personenauto;FIAT;17890.0;GRIJS;normaal
00HRF2;Personenauto;FIAT;15524.0;ZWART;normaal
00HRN6;Personenauto;FIAT;16104.0;ZWART;normaal
00HRR7;Personenauto;FIAT;17138.0;ROOD;normaal
00HSF7;Personenauto;FIAT;15843.0;ZWART;normaal
00HTF4;Personenauto;FIAT;15629.0;WIT;normaal
00HTH4;Personenauto;FIAT;15559.0;WIT;normaal
00HTK5;Personenauto;FIAT;10088.0;ZWART;normaal
00HTN8;Personenauto;FIAT;16154.0;CREME;normaal
00HTN9;Personenauto;FIAT;23572.0;ZWART;hoog
00HTS2;Personenauto;FIAT;13794.0;CREME;normaal
00HTS3;Personenauto;FIAT;9958.0;ORANJE;normaal
00HTV8;Personenauto;FIAT;15132.0;WIT;normaal
00HVB3;Personenauto;FIAT;34632.0;BLAUW;hoog
00HVP5;Personenauto;FIAT;9752.0;BEIGE;normaal
00HVT6;Personenauto;FIAT;10412.0;GRIJS;normaal
00HXF1;Personenauto;FIAT;9681.0;WIT;normaal
00HXL5;Personenauto;FIAT;17279.0;GRIJS;normaal
00HXS1;Personenauto;FIAT;22061.0;ZWART;hoog
00HXT6;Personenauto;FIAT;9958.0;BLAUW;normaal
00HZD2;Personenauto;FIAT;10928.0;ZWART;normaal
00HZG8;Personenauto;FIAT;13630.0;ZWART;normaal
00HZG9;Personenauto;FIAT;10133.0;BLAUW;normaal
00HZH1;Personenauto;FIAT;23869.0;BLAUW;hoog
00HZK4;Personenauto;FIAT;14004.0;BLAUW;normaal
00HZK5;Personenauto;FIAT;14938.0;WIT;normaal
00HZK6;Personenauto;FIAT;9732.0;WIT;normaal
00HZK7;Personenauto;FIAT;15670.0;BLAUW;normaal
00HZP3;Personenauto;FIAT;16872.0;CREME;normaal
00HZP4;Personenauto;FIAT;20514.0;ZWART;hoog
00HZS6;Personenauto;FIAT;15579.0;WIT;normaal
00JBJ1;Personenauto;FIAT;17459.0;WIT;normaal
00JBL2;Personenauto;FIAT;13843.0;WIT;normaal
00JBP1;Personenauto;FIAT;15713.0;CREME;normaal
00JBT3;Personenauto;FIAT;15282.0;WIT;normaal
00JBX4;Personenauto;FIAT;17384.0;GRIJS;normaal
00JBZ8;Personenauto;FIAT;15020.0;WIT;normaal
